"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","65 years or over","Asylum applicant","Person","855","d"
"2008","European Union (current composition)","Extra-EU28 (current composition)","Females","65 years or over","First time applicant","Person","650","d"
"2008","Belgium","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","3,085",""
"2008","Belgium","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person","2,195",""
"2008","Belgium","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","1,060",""
"2008","Belgium","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person","865",""
"2008","Belgium","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","4,140",""
"2008","Belgium","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person","3,060",""
"2008","Belgium","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","8,010",""
"2008","Belgium","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person","5,915",""
"2008","Belgium","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","2,915",""
"2008","Belgium","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person","2,045",""
"2008","Belgium","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","95",""
"2008","Belgium","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person","75",""
"2008","Belgium","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","1,635",""
"2008","Belgium","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person","1,165",""
"2008","Belgium","Extra-EU28 (current composition)","Males","From 14 to 17 years","Asylum applicant","Person","685",""
"2008","Belgium","Extra-EU28 (current composition)","Males","From 14 to 17 years","First time applicant","Person","585",""
"2008","Belgium","Extra-EU28 (current composition)","Males","Less than 18 years","Asylum applicant","Person","2,320",""
"2008","Belgium","Extra-EU28 (current composition)","Males","Less than 18 years","First time applicant","Person","1,750",""
"2008","Belgium","Extra-EU28 (current composition)","Males","From 18 to 34 years","Asylum applicant","Person","5,730",""
"2008","Belgium","Extra-EU28 (current composition)","Males","From 18 to 34 years","First time applicant","Person","4,070",""
"2008","Belgium","Extra-EU28 (current composition)","Males","From 35 to 64 years","Asylum applicant","Person","1,885",""
"2008","Belgium","Extra-EU28 (current composition)","Males","From 35 to 64 years","First time applicant","Person","1,265",""
"2008","Belgium","Extra-EU28 (current composition)","Males","65 years or over","Asylum applicant","Person","40",""
"2008","Belgium","Extra-EU28 (current composition)","Males","65 years or over","First time applicant","Person","30",""
"2008","Belgium","Extra-EU28 (current composition)","Females","Less than 14 years","Asylum applicant","Person","1,450",""
"2008","Belgium","Extra-EU28 (current composition)","Females","Less than 14 years","First time applicant","Person","1,030",""
"2008","Belgium","Extra-EU28 (current composition)","Females","From 14 to 17 years","Asylum applicant","Person","375",""
"2008","Belgium","Extra-EU28 (current composition)","Females","From 14 to 17 years","First time applicant","Person","280",""
"2008","Belgium","Extra-EU28 (current composition)","Females","Less than 18 years","Asylum applicant","Person","1,820",""
"2008","Belgium","Extra-EU28 (current composition)","Females","Less than 18 years","First time applicant","Person","1,310",""
"2008","Belgium","Extra-EU28 (current composition)","Females","From 18 to 34 years","Asylum applicant","Person","2,285",""
"2008","Belgium","Extra-EU28 (current composition)","Females","From 18 to 34 years","First time applicant","Person","1,845",""
"2008","Belgium","Extra-EU28 (current composition)","Females","From 35 to 64 years","Asylum applicant","Person","1,030",""
"2008","Belgium","Extra-EU28 (current composition)","Females","From 35 to 64 years","First time applicant","Person","780",""
"2008","Belgium","Extra-EU28 (current composition)","Females","65 years or over","Asylum applicant","Person","55",""
"2008","Belgium","Extra-EU28 (current composition)","Females","65 years or over","First time applicant","Person","45",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","75",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","45",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","120",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","385",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","215",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","25",""
"2008","Bulgaria","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","45",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","From 14 to 17 years","Asylum applicant","Person","30",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","From 14 to 17 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","Less than 18 years","Asylum applicant","Person","75",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","Less than 18 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","From 18 to 34 years","Asylum applicant","Person","330",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","From 18 to 34 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","From 35 to 64 years","Asylum applicant","Person","150",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","From 35 to 64 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","65 years or over","Asylum applicant","Person","15",""
"2008","Bulgaria","Extra-EU28 (current composition)","Males","65 years or over","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","Less than 14 years","Asylum applicant","Person","30",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","Less than 14 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","From 14 to 17 years","Asylum applicant","Person","15",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","From 14 to 17 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","Less than 18 years","Asylum applicant","Person","45",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","Less than 18 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","From 18 to 34 years","Asylum applicant","Person","55",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","From 18 to 34 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","From 35 to 64 years","Asylum applicant","Person","65",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","From 35 to 64 years","First time applicant","Person",":",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","65 years or over","Asylum applicant","Person","10",""
"2008","Bulgaria","Extra-EU28 (current composition)","Females","65 years or over","First time applicant","Person",":",""
"2008","Czechia","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","245",""
"2008","Czechia","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person","185",""
"2008","Czechia","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","45",""
"2008","Czechia","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person","35",""
"2008","Czechia","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","295",""
"2008","Czechia","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person","225",""
"2008","Czechia","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","835",""
"2008","Czechia","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person","565",""
"2008","Czechia","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","510",""
"2008","Czechia","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person","255",""
"2008","Czechia","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","10",""
"2008","Czechia","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person","5",""
"2008","Czechia","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","130",""
"2008","Czechia","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person","95",""
"2008","Czechia","Extra-EU28 (current composition)","Males","From 14 to 17 years","Asylum applicant","Person","30",""
"2008","Czechia","Extra-EU28 (current composition)","Males","From 14 to 17 years","First time applicant","Person","25",""
"2008","Czechia","Extra-EU28 (current composition)","Males","Less than 18 years","Asylum applicant","Person","160",""
"2008","Czechia","Extra-EU28 (current composition)","Males","Less than 18 years","First time applicant","Person","120",""
"2008","Czechia","Extra-EU28 (current composition)","Males","From 18 to 34 years","Asylum applicant","Person","640",""
"2008","Czechia","Extra-EU28 (current composition)","Males","From 18 to 34 years","First time applicant","Person","425",""
"2008","Czechia","Extra-EU28 (current composition)","Males","From 35 to 64 years","Asylum applicant","Person","360",""
"2008","Czechia","Extra-EU28 (current composition)","Males","From 35 to 64 years","First time applicant","Person","175",""
"2008","Czechia","Extra-EU28 (current composition)","Males","65 years or over","Asylum applicant","Person","0",""
"2008","Czechia","Extra-EU28 (current composition)","Males","65 years or over","First time applicant","Person","0",""
"2008","Czechia","Extra-EU28 (current composition)","Females","Less than 14 years","Asylum applicant","Person","120",""
"2008","Czechia","Extra-EU28 (current composition)","Females","Less than 14 years","First time applicant","Person","90",""
"2008","Czechia","Extra-EU28 (current composition)","Females","From 14 to 17 years","Asylum applicant","Person","15",""
"2008","Czechia","Extra-EU28 (current composition)","Females","From 14 to 17 years","First time applicant","Person","10",""
"2008","Czechia","Extra-EU28 (current composition)","Females","Less than 18 years","Asylum applicant","Person","135",""
"2008","Czechia","Extra-EU28 (current composition)","Females","Less than 18 years","First time applicant","Person","100",""
"2008","Czechia","Extra-EU28 (current composition)","Females","From 18 to 34 years","Asylum applicant","Person","200",""
"2008","Czechia","Extra-EU28 (current composition)","Females","From 18 to 34 years","First time applicant","Person","140",""
"2008","Czechia","Extra-EU28 (current composition)","Females","From 35 to 64 years","Asylum applicant","Person","145",""
"2008","Czechia","Extra-EU28 (current composition)","Females","From 35 to 64 years","First time applicant","Person","80",""
"2008","Czechia","Extra-EU28 (current composition)","Females","65 years or over","Asylum applicant","Person","5",""
"2008","Czechia","Extra-EU28 (current composition)","Females","65 years or over","First time applicant","Person","5",""
"2008","Denmark","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","320",""
"2008","Denmark","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person","320",""
"2008","Denmark","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","345",""
"2008","Denmark","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person","345",""
"2008","Denmark","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","665",""
"2008","Denmark","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person","665",""
"2008","Denmark","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","1,290",""
"2008","Denmark","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person","1,290",""
"2008","Denmark","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","360",""
"2008","Denmark","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person","360",""
"2008","Denmark","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","35",""
"2008","Denmark","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person","35",""
"2008","Denmark","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","190",""
"2008","Denmark","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person","190",""
"2008","Denmark","Extra-EU28 (current composition)","Males","From 14 to 17 years","Asylum applicant","Person","315",""
"2008","Denmark","Extra-EU28 (current composition)","Males","From 14 to 17 years","First time applicant","Person","315",""
"2008","Denmark","Extra-EU28 (current composition)","Males","Less than 18 years","Asylum applicant","Person","505",""
"2008","Denmark","Extra-EU28 (current composition)","Males","Less than 18 years","First time applicant","Person","505",""
"2008","Denmark","Extra-EU28 (current composition)","Males","From 18 to 34 years","Asylum applicant","Person","1,035",""
"2008","Denmark","Extra-EU28 (current composition)","Males","From 18 to 34 years","First time applicant","Person","1,035",""
"2008","Denmark","Extra-EU28 (current composition)","Males","From 35 to 64 years","Asylum applicant","Person","250",""
"2008","Denmark","Extra-EU28 (current composition)","Males","From 35 to 64 years","First time applicant","Person","250",""
"2008","Denmark","Extra-EU28 (current composition)","Males","65 years or over","Asylum applicant","Person","10",""
"2008","Denmark","Extra-EU28 (current composition)","Males","65 years or over","First time applicant","Person","10",""
"2008","Denmark","Extra-EU28 (current composition)","Females","Less than 14 years","Asylum applicant","Person","130",""
"2008","Denmark","Extra-EU28 (current composition)","Females","Less than 14 years","First time applicant","Person","130",""
"2008","Denmark","Extra-EU28 (current composition)","Females","From 14 to 17 years","Asylum applicant","Person","30",""
"2008","Denmark","Extra-EU28 (current composition)","Females","From 14 to 17 years","First time applicant","Person","30",""
"2008","Denmark","Extra-EU28 (current composition)","Females","Less than 18 years","Asylum applicant","Person","155",""
"2008","Denmark","Extra-EU28 (current composition)","Females","Less than 18 years","First time applicant","Person","155",""
"2008","Denmark","Extra-EU28 (current composition)","Females","From 18 to 34 years","Asylum applicant","Person","255",""
"2008","Denmark","Extra-EU28 (current composition)","Females","From 18 to 34 years","First time applicant","Person","255",""
"2008","Denmark","Extra-EU28 (current composition)","Females","From 35 to 64 years","Asylum applicant","Person","110",""
"2008","Denmark","Extra-EU28 (current composition)","Females","From 35 to 64 years","First time applicant","Person","110",""
"2008","Denmark","Extra-EU28 (current composition)","Females","65 years or over","Asylum applicant","Person","20",""
"2008","Denmark","Extra-EU28 (current composition)","Females","65 years or over","First time applicant","Person","20",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","5,705",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person","4,840",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","2,095",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person","1,765",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","7,800",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person","6,605",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","14,460",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person","11,840",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","4,345",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person","2,685",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","210",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person","165",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","2,930",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person","2,485",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","From 14 to 17 years","Asylum applicant","Person","1,500",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","From 14 to 17 years","First time applicant","Person","1,310",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","Less than 18 years","Asylum applicant","Person","4,430",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","Less than 18 years","First time applicant","Person","3,795",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","From 18 to 34 years","Asylum applicant","Person","11,045",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","From 18 to 34 years","First time applicant","Person","8,990",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","From 35 to 64 years","Asylum applicant","Person","2,800",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","From 35 to 64 years","First time applicant","Person","1,645",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","65 years or over","Asylum applicant","Person","80",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Males","65 years or over","First time applicant","Person","65",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","Less than 14 years","Asylum applicant","Person","2,775",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","Less than 14 years","First time applicant","Person","2,355",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","From 14 to 17 years","Asylum applicant","Person","595",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","From 14 to 17 years","First time applicant","Person","455",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","Less than 18 years","Asylum applicant","Person","3,370",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","Less than 18 years","First time applicant","Person","2,810",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","From 18 to 34 years","Asylum applicant","Person","3,415",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","From 18 to 34 years","First time applicant","Person","2,850",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","From 35 to 64 years","Asylum applicant","Person","1,545",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","From 35 to 64 years","First time applicant","Person","1,040",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","65 years or over","Asylum applicant","Person","130",""
"2008","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Females","65 years or over","First time applicant","Person","105",""
"2008","Estonia","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","10",""
"2008","Estonia","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person","10",""
"2008","Estonia","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","5",""
"2008","Estonia","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person","5",""
"2008","Estonia","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","From 14 to 17 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","From 14 to 17 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","Less than 18 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","Less than 18 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","From 18 to 34 years","Asylum applicant","Person","5",""
"2008","Estonia","Extra-EU28 (current composition)","Males","From 18 to 34 years","First time applicant","Person","5",""
"2008","Estonia","Extra-EU28 (current composition)","Males","From 35 to 64 years","Asylum applicant","Person","5",""
"2008","Estonia","Extra-EU28 (current composition)","Males","From 35 to 64 years","First time applicant","Person","5",""
"2008","Estonia","Extra-EU28 (current composition)","Males","65 years or over","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Males","65 years or over","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","Less than 14 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","Less than 14 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","From 14 to 17 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","From 14 to 17 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","Less than 18 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","Less than 18 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","From 18 to 34 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","From 18 to 34 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","From 35 to 64 years","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","From 35 to 64 years","First time applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","65 years or over","Asylum applicant","Person","0",""
"2008","Estonia","Extra-EU28 (current composition)","Females","65 years or over","First time applicant","Person","0",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Less than 14 years","Asylum applicant","Person","780",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Less than 14 years","First time applicant","Person","765",""
"2008","Ireland","Extra-EU28 (current composition)","Total","From 14 to 17 years","Asylum applicant","Person","225",""
"2008","Ireland","Extra-EU28 (current composition)","Total","From 14 to 17 years","First time applicant","Person","220",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Less than 18 years","Asylum applicant","Person","1,005",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Less than 18 years","First time applicant","Person","990",""
"2008","Ireland","Extra-EU28 (current composition)","Total","From 18 to 34 years","Asylum applicant","Person","2,130",""
"2008","Ireland","Extra-EU28 (current composition)","Total","From 18 to 34 years","First time applicant","Person","2,100",""
"2008","Ireland","Extra-EU28 (current composition)","Total","From 35 to 64 years","Asylum applicant","Person","700",""
"2008","Ireland","Extra-EU28 (current composition)","Total","From 35 to 64 years","First time applicant","Person","690",""
"2008","Ireland","Extra-EU28 (current composition)","Total","65 years or over","Asylum applicant","Person","15",""
"2008","Ireland","Extra-EU28 (current composition)","Total","65 years or over","First time applicant","Person","15",""
"2008","Ireland","Extra-EU28 (current composition)","Males","Less than 14 years","Asylum applicant","Person","390",""
"2008","Ireland","Extra-EU28 (current composition)","Males","Less than 14 years","First time applicant","Person","380",""
