,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Lithuania,0.4,0.5,0.4,0.5,,,,,,,,,,,,,,,,,
,,Latvia,0.3,0.4,0.3,0.4,,,,,,,,,,,,,,,,,
,,Estonia,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,
,,Slovakia,0.1,0.2,0.1,0.2,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
,,Liechtenstein (1),0.1,:,0.1,:,,,,,,,,,,,,,,,,,
,,Switzerland,25.8,16.6,25.8,16.6,,,,,,,,,,,,,,,,,
,,Norway,3.2,3.4,3.2,3.4,,,,,,,,,,,,,,,,,
,,Iceland,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Note: the y-axis is interrupted with a different interval above the interruption from that below it.,,,,,,,,,,,,,,,,,,,,,
,,(¹) 2017: not available.,,,,,,,,,,,,,,,,,,,,,
,,Source: Eurostat (online data code: migr_asyappctza),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bookmark:,,,,,,,,,,,,,,,,,,,,,,,
"http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-057066_QID_7740FC67_UID_-3F171EB0&layout=TIME,C,X,0;GEO,L,Y,0;ASYL_APP,L,Z,0;SEX,L,Z,1;AGE,L,Z,2;CITIZEN,L,Z,3;UNIT,L,Z,4;INDICATORS,C,Z,5;&zSelection=DS-057066SEX,T;DS-057066AGE,TOTAL;DS-057066CITIZEN,EXT_EU28;DS-057066UNIT,PER;DS-057066ASYL_APP,NASY_APP;DS-057066INDICATORS,OBS_FLAG;&rankName1=UNIT_1_2_-1_2&rankName2=AGE_1_2_-1_2&rankName3=CITIZEN_1_2_-1_2&rankName4=INDICATORS_1_2_-1_2&rankName5=ASYL-APP_1_2_-1_2&rankName6=SEX_1_2_-1_2&rankName7=TIME_1_0_0_0&rankName8=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Note: the y-axis is interrupted with a different interval above the interruption from that below it.,,,,,,,,,,,,,,,,,,,,,
,,(¹) 2017: not available.,,,,,,,,,,,,,,,,,,,,,
,,Source: Eurostat (online data code: migr_asyappctza),,,,,,,,,,,,,,,,,,,,,
