,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lithuania,30.8,2.9,43.3,22.1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Luxembourg,22.2,4.1,55.2,18.3,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hungary,38.4,12.7,34.3,14.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malta,23.6,4.0,55.0,17.1,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Netherlands,15.5,8.5,55.1,20.1,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Austria,42.0,11.2,32.4,14.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Poland,40.9,5.0,33.6,19.6,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Portugal,19.7,4.9,52.2,22.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Romania,24.8,8.7,51.1,15.1,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slovenia,8.4,27.5,54.7,9.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slovakia,10.0,13.3,53.3,23.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Finland,24.9,5.5,48.6,20.2,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sweden,29.2,7.2,40.6,21.5,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,United Kingdom,13.9,8.5,50.5,23.2,1.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iceland,12.7,3.8,57.7,24.9,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liechtenstein,:,:,:,:,:,:,,,,,,,,,,,,,,,,,,,,,,,,,
,,Norway,25.1,6.4,49.1,18.7,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Switzerland,33.0,6.7,47.2,12.7,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: due to the use of rounded figures in these calculations the sum of all age groups does not always equal 100 %.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,: data not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source: Eurostat (online data code: migr_asyappctza),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-057066_QID_2AF412A7_UID_-3F171EB0&layout=AGE,L,X,0;GEO,L,Y,0;ASYL_APP,L,Z,0;SEX,L,Z,1;TIME,C,Z,2;CITIZEN,L,Z,3;UNIT,L,Z,4;INDICATORS,C,Z,5;&zSelection=DS-057066TIME,2017;DS-057066SEX,T;DS-057066CITIZEN,EXT_EU28;DS-057066UNIT,PER;DS-057066ASYL_APP,NASY_APP;DS-057066INDICATORS,OBS_FLAG;&rankName1=TIME_1_0_-1_2&rankName2=UNIT_1_2_-1_2&rankName3=CITIZEN_1_2_-1_2&rankName4=INDICATORS_1_2_-1_2&rankName5=ASYL-APP_1_2_-1_2&rankName6=SEX_1_2_-1_2&rankName7=AGE_1_2_0_0&rankName8=GEO_1_2_0_1&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Note: due to the use of rounded figures in these calculations the sum of all age groups does not always equal 100 %.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,: data not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source: Eurostat (online data code: migr_asyappctza),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
