,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cyprus,3.9,11.5,0.0,84.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Latvia,13.6,0.0,0.0,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malta,6.1,6.9,0.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,5.7,0.4,0.0,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spain,1.9,1.8,1.0,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Poland,0.1,1.6,1.1,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Luxembourg,0.0,0.9,0.0,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Czech Republic,0.3,0.3,0.0,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Estonia,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slovenia,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slovakia,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hungary,:,:,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Portugal,:,:,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liechtenstein,14.3,0.0,0.0,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Norway,3.1,1.7,5.8,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iceland,6.8,3.1,0.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Switzerland,5.8,0.7,2.3,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: based on original (not rounded) figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source: Eurostat (online data code: migr_asydcfina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-057068_QID_-3FF45836_UID_-3F171EB0&layout=TIME,C,X,0;DECISION,L,X,1;GEO,L,Y,0;CITIZEN,L,Z,0;SEX,L,Z,1;AGE,L,Z,2;UNIT,L,Z,3;INDICATORS,C,Z,4;&zSelection=DS-057068AGE,TOTAL;DS-057068CITIZEN,EXT_EU28;DS-057068INDICATORS,OBS_FLAG;DS-057068UNIT,PER;DS-057068SEX,T;&rankName1=UNIT_1_2_-1_2&rankName2=AGE_1_2_-1_2&rankName3=CITIZEN_1_2_-1_2&rankName4=INDICATORS_1_2_-1_2&rankName5=SEX_1_2_-1_2&rankName6=TIME_1_0_0_0&rankName7=DECISION_1_2_1_0&rankName8=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
